"Ticker","Year"
"INTC","2017"
"INTC","2018"
"INTC","2022"
"INTC","2015"
"INTC","2021"
"INTC","2020"
"INTC","2016"
"INTC","2019"
"INTU","2016"
"INTU","2019"
"INTU","2017"
"INTU","2015"
"INTU","2018"
"INTU","2021"
"INTU","2022"
"INTU","2020"
"IP","2019"
"IP","2015"
"IP","2020"
"IP","2022"
"IP","2016"
"IP","2021"
"IP","2017"
"IP","2018"
"IPG","2017"
"IPG","2016"
"IPG","2022"
"IPG","2021"
"IPG","2019"
"IPG","2018"
"IPG","2020"
"IPG","2015"
"IPGP","2019"
"IPGP","2021"
"IPGP","2020"
"IPGP","2018"
"IQV","2017"
"IQV","2022"
"IQV","2020"
"IQV","2019"
"IQV","2018"
"IQV","2021"
"IR","2020"
"IR","2021"
"IR","2017"
"IR","2018"
"IR","2022"
"IR","2015"
